lemma	homonym	new_para	origin
vaivainen	2	NOUN_AAKKOSTAMINEN	aok
häämöittää	1	VERB_RÄPSYTTÄÄ	aok
hölpöittää	1	VERB_RÄPSYTTÄÄ	aok
hölöittää	1	VERB_RÄPSYTTÄÄ	aok
hömpsöittää	1	VERB_RÄPSYTTÄÄ	aok
hömpöittää	1	VERB_RÄPSYTTÄÄ	aok
höpöittää	1	VERB_RÄPSYTTÄÄ	aok
höröittää	1	VERB_RÄPSYTTÄÄ	aok
hössöittää	1	VERB_RÄPSYTTÄÄ	aok
jököittää	1	VERB_RÄPSYTTÄÄ	aok
jöröittää	1	VERB_RÄPSYTTÄÄ	aok
kydöittää	1	VERB_RÄPSYTTÄÄ	aok
kyhjöittää	1	VERB_RÄPSYTTÄÄ	aok
kyyhöittää	1	VERB_RÄPSYTTÄÄ	aok
kyyköittää	1	VERB_RÄPSYTTÄÄ	aok
kyyröittää	1	VERB_RÄPSYTTÄÄ	aok
kököittää	1	VERB_RÄPSYTTÄÄ	aok
köllöittää	1	VERB_RÄPSYTTÄÄ	aok
könöittää	1	VERB_RÄPSYTTÄÄ	aok
köröittää	1	VERB_RÄPSYTTÄÄ	aok
lyöittää	1	VERB_RÄPSYTTÄÄ	aok
läpisyöittää	1	VERB_RÄPSYTTÄÄ	aok
lököittää	1	VERB_RÄPSYTTÄÄ	aok
lörpöittää	1	VERB_RÄPSYTTÄÄ	aok
lötköittää	1	VERB_RÄPSYTTÄÄ	aok
mököittää	1	VERB_RÄPSYTTÄÄ	aok
möllöittää	1	VERB_RÄPSYTTÄÄ	aok
mölöittää	1	VERB_RÄPSYTTÄÄ	aok
nyhjöittää	1	VERB_RÄPSYTTÄÄ	aok
nököittää	1	VERB_RÄPSYTTÄÄ	aok
pakkosyöittää	1	VERB_RÄPSYTTÄÄ	aok
pöhöittää	1	VERB_RÄPSYTTÄÄ	aok
pölpöittää	1	VERB_RÄPSYTTÄÄ	aok
pölöittää	1	VERB_RÄPSYTTÄÄ	aok
pömpöittää	1	VERB_RÄPSYTTÄÄ	aok
pöpöittää	1	VERB_RÄPSYTTÄÄ	aok
pörröittää	1	VERB_RÄPSYTTÄÄ	aok
pötköittää	1	VERB_RÄPSYTTÄÄ	aok
pöyhöittää	1	VERB_RÄPSYTTÄÄ	aok
röhnöittää	1	VERB_RÄPSYTTÄÄ	aok
röhöittää	1	VERB_RÄPSYTTÄÄ	aok
rötköittää	1	VERB_RÄPSYTTÄÄ	aok
syöittää	1	VERB_RÄPSYTTÄÄ	aok
sähköittää	1	VERB_RÄPSYTTÄÄ	aok
säröittää	1	VERB_RÄPSYTTÄÄ	aok
säännöittää	1	VERB_RÄPSYTTÄÄ	aok
sönköittää	1	VERB_RÄPSYTTÄÄ	aok
söpöittää	1	VERB_RÄPSYTTÄÄ	aok
sössöittää	1	VERB_RÄPSYTTÄÄ	aok
tököittää	1	VERB_RÄPSYTTÄÄ	aok
töllöittää	1	VERB_RÄPSYTTÄÄ	aok
töpöittää	1	VERB_RÄPSYTTÄÄ	aok
törröittää	1	VERB_RÄPSYTTÄÄ	aok
töröittää	1	VERB_RÄPSYTTÄÄ	aok
töötöittää	1	VERB_RÄPSYTTÄÄ	aok
vyöittää	1	VERB_RÄPSYTTÄÄ	aok
värjöittää	1	VERB_RÄPSYTTÄÄ	aok
yrjöittää	1	VERB_RÄPSYTTÄÄ	aok
yököittää	1	VERB_RÄPSYTTÄÄ	aok
ällöittää	1	VERB_RÄPSYTTÄÄ	aok
elävöttää	1	VERB_RÄPSYTTÄÄ	aok
hedelmöttää	1	VERB_RÄPSYTTÄÄ	aok
henkevöttää	1	VERB_RÄPSYTTÄÄ	aok
imelöttää	1	VERB_RÄPSYTTÄÄ	aok
jäntevöttää	1	VERB_RÄPSYTTÄÄ	aok
keinohedelmöttää	1	VERB_RÄPSYTTÄÄ	aok
kitkeröttää	1	VERB_RÄPSYTTÄÄ	aok
mehevöttää	1	VERB_RÄPSYTTÄÄ	aok
pätevöttää	1	VERB_RÄPSYTTÄÄ	aok
rehevöttää	1	VERB_RÄPSYTTÄÄ	aok
terävöttää	1	VERB_RÄPSYTTÄÄ	aok
verevöttää	1	VERB_RÄPSYTTÄÄ	aok
vetelöttää	1	VERB_RÄPSYTTÄÄ	aok
viheriöttää	1	VERB_RÄPSYTTÄÄ	aok
väkevöttää	1	VERB_RÄPSYTTÄÄ	aok
yhtiöttää	1	VERB_RÄPSYTTÄÄ	aok
yksiköttää	1	VERB_RÄPSYTTÄÄ	aok
ylevöttää	1	VERB_RÄPSYTTÄÄ	aok
ylihedelmöttää	1	VERB_RÄPSYTTÄÄ	aok
aalloittaa	1	VERB_VIEROITTAA	aok
alivaloittaa	1	VERB_VIEROITTAA	aok
ammoittaa	1	VERB_VIEROITTAA	aok
arvoittaa	1	VERB_VIEROITTAA	aok
aukoittaa	1	VERB_VIEROITTAA	aok
ehdoittaa	1	VERB_VIEROITTAA	aok
elloittaa	1	VERB_VIEROITTAA	aok
eroittaa	1	VERB_VIEROITTAA	aok
esilleoittaa	1	VERB_VIEROITTAA	aok
haaroittaa	1	VERB_VIEROITTAA	aok
hahmoittaa	1	VERB_VIEROITTAA	aok
hajoittaa	1	VERB_VIEROITTAA	aok
haltuunoittaa	1	VERB_VIEROITTAA	aok
hapoittaa	1	VERB_VIEROITTAA	aok
hapsoittaa	1	VERB_VIEROITTAA	aok
haroittaa	1	VERB_VIEROITTAA	aok
haudoittaa	1	VERB_VIEROITTAA	aok
haukoittaa	1	VERB_VIEROITTAA	aok
heikoittaa	1	VERB_VIEROITTAA	aok
hekoittaa	1	VERB_VIEROITTAA	aok
heloittaa	1	VERB_VIEROITTAA	aok
helpoittaa	1	VERB_VIEROITTAA	aok
hermoittaa	1	VERB_VIEROITTAA	aok
hieroittaa	1	VERB_VIEROITTAA	aok
hiilihapoittaa	1	VERB_VIEROITTAA	aok
hilloittaa	1	VERB_VIEROITTAA	aok
himoittaa	1	VERB_VIEROITTAA	aok
hioittaa	1	VERB_VIEROITTAA	aok
hohoittaa	1	VERB_VIEROITTAA	aok
hoijoittaa	1	VERB_VIEROITTAA	aok
hoiloittaa	1	VERB_VIEROITTAA	aok
holoittaa	1	VERB_VIEROITTAA	aok
hompsoittaa	1	VERB_VIEROITTAA	aok
honoittaa	1	VERB_VIEROITTAA	aok
huohoittaa	1	VERB_VIEROITTAA	aok
huomioonoittaa	1	VERB_VIEROITTAA	aok
huostaanoittaa	1	VERB_VIEROITTAA	aok
inhoittaa	1	VERB_VIEROITTAA	aok
irroittaa	1	VERB_VIEROITTAA	aok
jaksoittaa	1	VERB_VIEROITTAA	aok
janoittaa	1	VERB_VIEROITTAA	aok
jaoittaa	1	VERB_VIEROITTAA	aok
jauhoittaa	1	VERB_VIEROITTAA	aok
johdoittaa	1	VERB_VIEROITTAA	aok
jolloittaa	1	VERB_VIEROITTAA	aok
jomoittaa	1	VERB_VIEROITTAA	aok
jonoittaa	1	VERB_VIEROITTAA	aok
joroittaa	1	VERB_VIEROITTAA	aok
juoittaa	1	VERB_VIEROITTAA	aok
juroittaa	1	VERB_VIEROITTAA	aok
kadoittaa	1	VERB_VIEROITTAA	aok
kailoittaa	1	VERB_VIEROITTAA	aok
kajoittaa	1	VERB_VIEROITTAA	aok
kammoittaa	1	VERB_VIEROITTAA	aok
karkoittaa	1	VERB_VIEROITTAA	aok
kastojuoittaa	1	VERB_VIEROITTAA	aok
kehoittaa	1	VERB_VIEROITTAA	aok
kelloittaa	1	VERB_VIEROITTAA	aok
kennoittaa	1	VERB_VIEROITTAA	aok
kenoittaa	1	VERB_VIEROITTAA	aok
keskiarvoittaa	1	VERB_VIEROITTAA	aok
kiihoittaa	1	VERB_VIEROITTAA	aok
kiilloittaa	1	VERB_VIEROITTAA	aok
kiinnioittaa	1	VERB_VIEROITTAA	aok
kiloittaa	1	VERB_VIEROITTAA	aok
kirkoittaa	1	VERB_VIEROITTAA	aok
kiskoittaa	1	VERB_VIEROITTAA	aok
kohoittaa	1	VERB_VIEROITTAA	aok
kolloittaa	1	VERB_VIEROITTAA	aok
koloittaa	1	VERB_VIEROITTAA	aok
koroittaa	1	VERB_VIEROITTAA	aok
kotkoittaa	1	VERB_VIEROITTAA	aok
kouhoittaa	1	VERB_VIEROITTAA	aok
kovajuoittaa	1	VERB_VIEROITTAA	aok
kuloittaa	1	VERB_VIEROITTAA	aok
kumoittaa	1	VERB_VIEROITTAA	aok
kurkoittaa	1	VERB_VIEROITTAA	aok
kuroittaa	1	VERB_VIEROITTAA	aok
kuulloittaa	1	VERB_VIEROITTAA	aok
kuumoittaa	1	VERB_VIEROITTAA	aok
kuvoittaa	1	VERB_VIEROITTAA	aok
kylmäpursoittaa	1	VERB_VIEROITTAA	aok
käyttöönoittaa	1	VERB_VIEROITTAA	aok
lahoittaa	1	VERB_VIEROITTAA	aok
laiskoittaa	1	VERB_VIEROITTAA	aok
